Date of Flare Peak
1/14/11
1/28/11
2/13/11
2/15/11
2/24/11
4/17/11
5/3/11
5/15/11
5/29/11
6/14/11
7/30/11
8/9/11
8/17/11
9/7/11
10/20/11
11/2/11
11/9/11
12/22/11
12/25/11
12/31/11
1/5/12
1/27/12
2/6/12
2/20/12
3/12/12
3/14/12
3/17/12
3/19/12
4/9/12
4/9/12
4/16/12
4/16/12
4/20/12
5/17/12
6/4/12
6/6/12
6/23/12
6/28/12
7/2/12
7/2/12
7/4/12
7/8/12
7/11/12
7/27/12
8/6/12
8/17/12
8/25/12
9/9/12
9/27/12
10/9/12
10/16/12
11/16/12
11/19/12
11/19/12
11/20/12
11/28/12
12/7/12
12/12/12
12/24/12
12/29/12
1/1/13
1/5/13
1/11/13
1/11/13
1/13/13
1/14/13
1/20/13
2/4/13
2/9/13
2/20/13
2/23/13
3/2/13
3/5/13
3/21/13
4/5/13
4/10/13
4/11/13
4/22/13
4/30/13
5/10/13
5/13/13
5/13/13
5/14/13
5/15/13
5/16/13
5/20/13
5/21/13
5/31/13
6/3/13
6/7/13
6/10/13
6/19/13
6/19/13
6/23/13
6/24/13
6/28/13
7/2/13
7/17/13
7/29/13
8/9/13
8/12/13
8/15/13
8/31/13
9/1/13
9/18/13
10/9/13
10/11/13
10/18/13
10/23/13
10/25/13
10/25/13
10/27/13
10/29/13
11/1/13
11/2/13
11/3/13
11/8/13
11/10/13
11/10/13
11/11/13
12/19/13
12/28/13
1/7/14
1/11/14
1/13/14
1/26/14
1/30/14
2/1/14
2/11/14
2/12/14
2/16/14
2/17/14
2/25/14
3/11/14
3/12/14
3/12/14
3/27/14
3/29/14
4/10/14
4/17/14
4/25/14
5/4/14
5/12/14
5/27/14
6/3/14
6/4/14
6/9/14
6/10/14
6/10/14
6/11/14
6/20/14
6/20/14
6/30/14
7/8/14
7/25/14
7/30/14
7/31/14
8/21/14
8/22/14
8/26/14
8/26/14
8/29/14
9/3/14
9/10/14
9/26/14
10/17/14
10/20/14
10/22/14
10/22/14
10/26/14
11/1/14
11/3/14
11/3/14
11/5/14
11/11/14
11/15/14
12/1/14
12/5/14
12/12/14
12/16/14
12/19/14
12/27/14
1/14/15
1/26/15
3/9/15
3/11/15
3/12/15
3/13/15
6/13/15
6/14/15
6/19/15
7/3/15
8/1/15
8/21/15
10/1/15
10/21/15
11/4/15
2/12/16
2/14/16
4/18/16
6/19/16
10/12/16
11/29/16
1/12/17
1/21/17
1/28/17
2/22/17
5/28/17
7/8/17
9/10/17
9/27/17
2/10/18





















































































































































































































































































































































































































































































































































































































































































































































































































