time (seconds since 2000-01-01 12:00:00),longwave (W/m^2)
5.2260168E8,4.9948574e-07
5.2260174E8,4.9455411e-07
5.226018E8,4.8052078e-07
5.2260186E8,4.6756020e-07
5.2260192E8,4.5471214e-07
5.2260198E8,4.4290232e-07
5.2260204E8,4.3397787e-07
5.226021E8,4.2577156e-07
5.2260216E8,4.2291643e-07
5.2260222E8,4.1490910e-07
5.2260228E8,4.1006834e-07
5.2260234E8,4.0461765e-07
5.226024E8,4.0461765e-07
5.2260246E8,4.0813464e-07
5.2260252E8,4.0617499e-07
5.2260258E8,4.0928967e-07
5.2260264E8,4.0800919e-07
5.226027E8,4.1448081e-07
5.2260276E8,4.1538928e-07
5.2260282E8,4.1679090e-07
5.2260288E8,4.2421422e-07
5.2260294E8,4.3148182e-07
5.22603E8,4.3290936e-07
5.2260306E8,4.5543027e-07
5.2260312E8,4.8079761e-07
5.2260318E8,5.0428753e-07
5.2260324E8,5.2856910e-07
5.226033E8,5.2038007e-07
5.2260336E8,5.0818085e-07
5.2260342E8,5.0523488e-07
5.2260348E8,5.0467685e-07
5.2260354E8,5.0104308e-07
5.226036E8,4.9390525e-07
5.2260366E8,4.8227707e-07
5.2260372E8,4.7638514e-07
5.2260378E8,4.8404206e-07
5.2260384E8,4.9607689e-07
5.226039E8,4.9455411e-07
5.2260396E8,4.9455411e-07
5.2260402E8,5.1376139e-07
5.2260408E8,5.4011070e-07
5.2260414E8,5.9240710e-07
5.226042E8,6.6638086e-07
5.2260426E8,8.0745008e-07
5.2260432E8,9.0724973e-07
5.2260438E8,8.8752341e-07
5.2260444E8,8.0042474e-07
5.226045E8,7.2114739e-07
5.2260456E8,6.6404488e-07
5.2260462E8,6.3731051e-07
5.2260468E8,6.1136774e-07
5.2260474E8,5.8734577e-07
5.226048E8,5.8020794e-07
5.2260486E8,5.8326640e-07
5.2260492E8,5.9201778e-07
5.2260498E8,5.8163550e-07
5.2260504E8,5.7498653e-07
5.226051E8,5.7423813e-07
5.2260516E8,5.6359630e-07
5.2260522E8,5.4633574e-07
5.2260528E8,5.3070175e-07
5.2260534E8,5.1830364e-07
5.226054E8,5.0999779e-07
5.2260546E8,5.0084407e-07
5.2260552E8,4.9299678e-07
5.2260558E8,4.9740925e-07
5.2260564E8,5.0774395e-07
5.226057E8,5.1492935e-07
5.2260576E8,5.3569391e-07
5.2260582E8,5.7852083e-07
5.2260588E8,6.1826762e-07
5.2260594E8,6.5976218e-07
5.22606E8,7.1426911e-07
5.2260606E8,7.3958023e-07
5.2260612E8,7.7344811e-07
5.2260618E8,7.9719757e-07
5.2260624E8,8.1251142e-07
5.226063E8,8.1673357e-07
5.2260636E8,8.2276392e-07
5.2260642E8,8.3236756e-07
5.2260648E8,8.3617869e-07
5.2260654E8,8.2068749e-07
5.226066E8,8.1186255e-07
5.2260666E8,7.9365032e-07
5.2260672E8,7.7682233e-07
5.2260678E8,7.6215741e-07
5.2260684E8,7.5307287e-07
5.226069E8,7.3932932e-07
5.2260696E8,7.1777316e-07
5.2260702E8,7.0855890e-07
5.2260708E8,6.9642459e-07
5.2260714E8,6.8052668e-07
5.226072E8,6.5989195e-07
5.2260726E8,6.4348365e-07
5.2260732E8,6.3198956e-07
5.2260738E8,6.2342417e-07
5.2260744E8,6.1927125e-07
5.226075E8,6.0973684e-07
5.2260756E8,6.1330144e-07
5.2260762E8,6.1498855e-07
5.2260768E8,6.4298177e-07
5.2260774E8,7.1556690e-07
5.226078E8,7.5320264e-07
5.2260786E8,7.9213623e-07
5.2260792E8,8.8435246e-07
5.2260798E8,1.1021771e-06
5.2260804E8,1.4118285e-06
5.226081E8,1.5860085e-06
5.2260816E8,1.6620414e-06
5.2260822E8,1.6765766e-06
5.2260828E8,1.6873742e-06
5.2260834E8,1.8269899e-06
5.226084E8,2.0230850e-06
5.2260846E8,2.1235337e-06
5.2260852E8,2.1109020e-06
5.2260858E8,2.0162070e-06
5.2260864E8,1.9430117e-06
5.226087E8,2.0006291e-06
5.2260876E8,2.0286657e-06
5.2260882E8,2.0351545e-06
5.2260888E8,2.0156835e-06
5.2260894E8,1.9301638e-06
5.22609E8,1.8590451e-06
5.2260906E8,1.8230966e-06
5.2260912E8,1.8006577e-06
5.2260918E8,1.7819567e-06
5.2260924E8,1.7514587e-06
5.226093E8,1.6981630e-06
5.2260936E8,1.6564609e-06
5.2260942E8,1.6176572e-06
5.2260948E8,1.5750942e-06
5.2260954E8,1.5103303e-06
5.226096E8,1.4655568e-06
5.2260966E8,1.4445327e-06
5.2260972E8,1.4158949e-06
5.2260978E8,1.3961253e-06
5.2260984E8,1.4037822e-06
5.226099E8,1.5093570e-06
5.2260996E8,1.6190847e-06
5.2261002E8,1.6302457e-06
5.2261008E8,1.5596462e-06
5.2261014E8,1.4805029e-06
5.226102E8,1.4190961e-06
5.2261026E8,1.4176685e-06
5.2261032E8,1.3935643e-06
5.2261038E8,1.3824986e-06
5.2261044E8,1.3688718e-06
5.226105E8,1.3512869e-06
5.2261056E8,1.3199453e-06
5.2261062E8,1.2855540e-06
5.2261068E8,1.2807523e-06
5.2261074E8,1.2881842e-06
5.226108E8,1.2854242e-06
5.2261086E8,1.2676446e-06
5.2261092E8,1.2822879e-06
5.2261098E8,1.2812714e-06
5.2261104E8,1.2529796e-06
5.226111E8,1.2348669e-06
5.2261116E8,1.2419484e-06
5.2261122E8,1.2601174e-06
5.2261128E8,1.2878900e-06
5.2261134E8,1.3137765e-06
5.226114E8,1.2845157e-06
5.2261146E8,1.2428569e-06
5.2261152E8,1.2032529e-06
5.2261158E8,1.1821205e-06
5.2261164E8,1.1592796e-06
5.226117E8,1.1634324e-06
5.2261176E8,1.1755278e-06
5.2261182E8,1.2371466e-06
5.2261188E8,1.2753015e-06
5.2261194E8,1.3147801e-06
5.22612E8,1.3481073e-06
5.2261206E8,1.3438246e-06
5.2261212E8,1.2942060e-06
5.2261218E8,1.2201457e-06
5.2261224E8,1.1594093e-06
5.226123E8,1.1261860e-06
5.2261236E8,1.0986254e-06
5.2261242E8,1.0888099e-06
5.2261248E8,1.1106126e-06
5.2261254E8,1.1607244e-06
5.226126E8,1.2200159e-06
5.2261266E8,1.3809412e-06
5.2261272E8,1.9647498e-06
5.2261278E8,4.9737937e-06
5.2261284E8,1.0325340e-05
5.226129E8,1.4537949e-05
5.2261296E8,1.7991311e-05
5.2261302E8,2.2627950e-05
5.2261308E8,2.6534803e-05
5.2261314E8,2.8730550e-05
5.226132E8,2.9143350e-05
5.2261326E8,2.8129520e-05
5.2261332E8,2.6304298e-05
5.2261338E8,2.4591240e-05
5.2261344E8,2.3085810e-05
5.226135E8,2.1916116e-05
5.2261356E8,2.0924141e-05
5.2261362E8,1.9910778e-05
5.2261368E8,1.8850229e-05
5.2261374E8,1.7721337e-05
5.226138E8,1.6665797e-05
5.2261386E8,1.5835474e-05
5.2261392E8,1.5063292e-05
5.2261398E8,1.4368744e-05
5.2261404E8,1.3910860e-05
5.226141E8,1.3365270e-05
5.2261416E8,1.2657822e-05
5.2261422E8,1.1868406e-05
5.2261428E8,1.1140867e-05
5.2261434E8,1.0507315e-05
5.226144E8,9.8173859e-06
5.2261446E8,9.1113916e-06
