Time [ISO8601],Flare Class,Peak Flux [W/m2]
"2011-01-21T21:35:00Z","C1.2",1.27012e-06
"2011-01-21T22:56:00Z","B2.4",2.44481e-07
"2011-01-21T23:36:00Z","B4.4",4.46027e-07
"2011-01-22T00:59:00Z","B1.9",1.91239e-07
"2011-01-22T01:14:00Z","B2.2",2.25618e-07
"2011-01-22T02:00:00Z","B2.0",2.06294e-07
"2011-01-22T04:52:00Z","B1.8",1.89020e-07
"2011-01-22T06:28:00Z","B1.8",1.86347e-07
"2011-01-22T07:10:00Z","B2.3",2.34832e-07
"2011-01-22T07:36:00Z","B2.4",2.40403e-07
"2011-01-22T08:28:00Z","C3.5",3.51070e-06
"2011-01-22T11:38:00Z","B5.2",5.20073e-07
"2011-01-22T13:21:00Z","B5.9",5.94838e-07
"2011-01-22T19:10:00Z","B2.2",2.22373e-07
"2011-01-22T20:05:00Z","B2.3",2.34443e-07
"2011-01-22T22:26:00Z","B3.1",3.19448e-07
"2011-01-23T01:13:00Z","B3.2",3.20052e-07
"2011-01-23T09:53:00Z","B3.5",3.58336e-07
"2011-01-23T11:53:00Z","B2.7",2.70087e-07
"2011-01-23T12:29:00Z","B1.8",1.83525e-07
"2011-01-23T18:20:00Z","B3.8",3.88834e-07
"2011-01-23T23:50:00Z","B2.1",2.14542e-07
"2011-01-24T00:40:00Z","B2.2",2.26956e-07
"2011-01-24T00:53:00Z","B2.9",2.93662e-07
"2011-01-24T01:33:00Z","B1.7",1.71929e-07
"2011-01-24T03:35:00Z","B2.8",2.83020e-07
"2011-01-24T04:39:00Z","B1.5",1.51684e-07
"2011-01-24T05:15:00Z","B1.9",1.98275e-07
"2011-01-24T05:29:00Z","B2.1",2.14367e-07
"2011-01-24T06:15:00Z","C2.0",2.04960e-06
"2011-01-24T09:54:00Z","B3.1",3.19098e-07
"2011-01-24T11:07:00Z","B1.8",1.80863e-07
"2011-01-25T03:28:00Z","B1.2",1.28019e-07
"2011-01-25T06:00:00Z","B1.0",1.04140e-07
"2011-01-25T11:55:00Z","B1.0",1.06087e-07
"2011-01-25T14:01:00Z","B1.1",1.16988e-07
"2011-01-25T15:01:00Z","B1.2",1.22309e-07
"2011-01-26T00:17:00Z","B1.1",1.17921e-07
"2011-01-26T00:37:00Z","B1.9",1.99872e-07
"2011-01-26T00:47:00Z","B1.7",1.75441e-07
"2011-01-26T02:11:00Z","B4.4",4.47359e-07
"2011-01-26T03:29:00Z","B1.5",1.55682e-07
"2011-01-26T03:52:00Z","B1.4",1.46663e-07
"2011-01-26T04:06:00Z","B3.1",3.11118e-07
"2011-01-26T06:57:00Z","B2.4",2.45684e-07
"2011-01-26T07:43:00Z","B1.6",1.63015e-07
"2011-01-26T09:36:00Z","B1.0",1.08763e-07
"2011-01-26T15:18:00Z","B2.6",2.64112e-07
"2011-01-26T17:03:00Z","B1.1",1.13279e-07
"2011-01-26T19:18:00Z","B1.7",1.73137e-07
"2011-01-26T21:22:00Z","B1.2",1.21810e-07
"2011-01-26T21:47:00Z","B3.7",3.78966e-07
"2011-01-26T22:09:00Z","B4.3",4.38703e-07
"2011-01-27T00:22:00Z","B1.1",1.15860e-07
"2011-01-27T02:12:00Z","B6.0",6.07591e-07
"2011-01-27T05:43:00Z","B1.4",1.48361e-07
"2011-01-27T06:10:00Z","B1.3",1.32303e-07
"2011-01-27T06:48:00Z","B1.3",1.35457e-07
"2011-01-27T08:50:00Z","B9.2",9.25289e-07
"2011-01-27T11:16:00Z","B2.0",2.08704e-07
"2011-01-27T12:01:00Z","C1.7",1.72161e-06
"2011-01-27T12:18:00Z","B2.5",2.53945e-07
"2011-01-27T13:53:00Z","B1.2",1.20662e-07
"2011-01-27T14:55:00Z","B1.5",1.51623e-07
"2011-01-27T20:03:00Z","C2.1",2.18310e-06
"2011-01-27T20:52:00Z","B3.2",3.24414e-07
"2011-01-27T23:40:00Z","B1.7",1.78846e-07
"2011-01-28T00:50:00Z","C1.7",1.75021e-06
"2011-01-28T01:03:00Z","M2.0",2.00495e-05
"2011-01-28T03:36:00Z","B7.2",7.22783e-07
"2011-01-28T04:07:00Z","B4.7",4.76075e-07
"2011-01-28T04:25:00Z","C2.2",2.26909e-06
"2011-01-28T07:00:00Z","B2.0",2.03760e-07
"2011-01-28T07:43:00Z","B2.2",2.26900e-07
"2011-01-28T09:11:00Z","B3.3",3.31346e-07
"2011-01-28T09:31:00Z","B3.4",3.40629e-07
"2011-01-28T10:22:00Z","C2.1",2.18215e-06
"2011-01-28T11:50:00Z","B1.8",1.82516e-07
"2011-01-28T12:00:00Z","B1.7",1.71095e-07
"2011-01-28T13:48:00Z","B2.1",2.10548e-07
"2011-01-28T15:58:00Z","B2.2",2.20195e-07
"2011-01-28T16:14:00Z","B3.3",3.31891e-07
"2011-01-28T17:20:00Z","B1.7",1.73431e-07
"2011-01-28T17:37:00Z","B1.8",1.89134e-07
"2011-01-28T17:57:00Z","B8.7",8.72288e-07
"2011-01-28T23:30:00Z","B1.0",1.02572e-07
"2011-01-29T01:51:00Z","B3.7",3.70106e-07
"2011-01-29T03:20:00Z","B4.1",4.13842e-07
"2011-01-29T03:36:00Z","B9.4",9.46842e-07
"2011-01-29T04:40:00Z","B1.9",1.92699e-07
"2011-01-29T07:52:00Z","B1.5",1.58308e-07
"2011-01-29T08:03:00Z","B1.8",1.83355e-07
"2011-01-29T11:57:00Z","C1.0",1.03016e-06
"2011-01-29T13:56:00Z","B1.5",1.53766e-07
"2011-01-29T16:32:00Z","B2.4",2.49023e-07
"2011-01-29T16:58:00Z","B3.7",3.76440e-07
"2011-01-30T03:04:00Z","B1.1",1.14300e-07
"2011-01-30T03:15:00Z","B1.4",1.47597e-07
"2011-01-30T18:36:00Z","B3.1",3.14899e-07
"2011-01-31T02:15:00Z","B1.2",1.25206e-07
"2011-01-31T05:48:00Z","B1.0",1.02690e-07
"2011-01-31T06:19:00Z","B1.7",1.71187e-07
"2011-01-31T07:22:00Z","B1.4",1.44024e-07
"2011-01-31T14:01:00Z","B2.2",2.22281e-07
"2011-01-31T14:47:00Z","B2.6",2.62772e-07
"2011-01-31T19:05:00Z","B1.3",1.34053e-07
"2011-01-31T20:01:00Z","B1.9",1.92951e-07
"2011-02-01T00:13:00Z","B4.2",4.21811e-07
"2011-02-01T05:54:00Z","B2.4",2.44404e-07
"2011-02-01T12:31:00Z","B1.7",1.78995e-07
"2011-02-01T21:08:00Z","B1.2",1.26695e-07
"2011-02-01T23:11:00Z","B1.3",1.37120e-07
"2011-02-01T23:42:00Z","B6.3",6.30495e-07
"2011-02-02T00:35:00Z","B5.7",5.79272e-07
"2011-02-02T02:47:00Z","B1.3",1.35061e-07
"2011-02-02T03:09:00Z","B1.1",1.16373e-07
"2011-02-02T05:44:00Z","B1.5",1.58755e-07
"2011-02-02T06:20:00Z","B5.7",5.73323e-07
"2011-02-02T10:29:00Z","B2.7",2.77688e-07
"2011-02-03T05:56:00Z","B3.5",3.53929e-07
"2011-02-03T17:35:00Z","B2.6",2.64382e-07
"2011-02-04T00:11:00Z","B1.2",1.23891e-07
"2011-02-04T01:43:00Z","B2.7",2.74044e-07
"2011-02-04T03:32:00Z","B1.1",1.10316e-07
"2011-02-04T04:03:00Z","B1.2",1.26625e-07
"2011-02-04T04:10:00Z","B1.4",1.46083e-07
"2011-02-04T07:40:00Z","B3.7",3.71378e-07
"2011-02-04T12:20:00Z","C1.3",1.34151e-06
"2011-02-04T17:36:00Z","B1.6",1.69780e-07
"2011-02-04T19:39:00Z","B9.7",9.71344e-07
"2011-02-04T22:54:00Z","B1.3",1.32716e-07
"2011-02-05T00:07:00Z","B5.0",5.00398e-07
"2011-02-07T10:20:00Z","B1.2",1.24901e-07
"2011-02-07T12:51:00Z","B3.1",3.15087e-07
"2011-02-07T13:35:00Z","B2.5",2.52663e-07
"2011-02-07T17:49:00Z","B1.0",1.09211e-07
"2011-02-07T21:29:00Z","B1.7",1.76354e-07
"2011-02-07T22:05:00Z","B1.6",1.67139e-07
"2011-02-08T01:59:00Z","B2.6",2.61283e-07
"2011-02-08T05:46:00Z","B1.5",1.53177e-07
